type,node_id,parent_id,planet_id,depth,size,x,y,z,r,g,b,image_id
node,planet_0,root,0,0,82,-0.5701510906219482,9.165818214416504,4.289486408233643,0.5411764705882353,0.42745098039215684,0.38823529411764707,
node,0_node_82,planet_0,0,1,82,-0.5701510906219482,9.165818214416504,4.289486408233643,0.5411764705882353,0.42745098039215684,0.38823529411764707,
image,,0_node_82,0,2,1,-0.40081003308296204,8.992887496948242,4.28864860534668,,,,Image_4841.jpg
image,,0_node_82,0,2,1,-0.6745244860649109,9.270352363586426,4.3975348472595215,,,,Image_5682.jpg
image,,0_node_82,0,2,1,-0.6356485486030579,9.225778579711914,4.3493757247924805,,,,Image_1460.jpg
image,,0_node_82,0,2,1,-0.6244286894798279,9.225969314575195,4.356729507446289,,,,Image_1201.jpg
image,,0_node_82,0,2,1,-0.5925324559211731,9.176915168762207,4.293800354003906,,,,Image_4854.jpg
image,,0_node_82,0,2,1,-0.5030313730239868,9.102238655090332,4.253059387207031,,,,Image_5015.jpg
image,,0_node_82,0,2,1,-0.4546782970428467,9.057026863098145,4.170409679412842,,,,Image_4872.jpg
image,,0_node_82,0,2,1,-0.5217676162719727,9.117908477783203,4.234961032867432,,,,Image_5044.jpg
image,,0_node_82,0,2,1,-0.46766185760498047,9.067028999328613,4.323869705200195,,,,Image_1129.jpg
image,,0_node_82,0,2,1,-0.45983824133872986,9.046415328979492,4.159361839294434,,,,Image_6344.jpg
image,,0_node_82,0,2,1,-0.5207581520080566,9.112595558166504,4.228933811187744,,,,Image_343.jpg
image,,0_node_82,0,2,1,-0.5815348625183105,9.171344757080078,4.290607929229736,,,,Image_1957.jpg
image,,0_node_82,0,2,1,-0.5895265340805054,9.182069778442383,4.300450801849365,,,,Image_5821.jpg
image,,0_node_82,0,2,1,-0.4950122833251953,9.097301483154297,4.179318904876709,,,,Image_1022.jpg
image,,0_node_82,0,2,1,-0.6328566074371338,9.230490684509277,4.355191230773926,,,,Image_3414.jpg
image,,0_node_82,0,2,1,-0.5934651494026184,9.186338424682617,4.301614761352539,,,,Image_5936.jpg
image,,0_node_82,0,2,1,-0.5410234332084656,9.137238502502441,4.250677108764648,,,,Image_2762.jpg
image,,0_node_82,0,2,1,-0.6019341945648193,9.177275657653809,4.3326497077941895,,,,Image_5361.jpg
image,,0_node_82,0,2,1,-0.6079434752464294,9.208366394042969,4.337814807891846,,,,Image_5173.jpg
image,,0_node_82,0,2,1,-0.5805472135543823,9.160988807678223,4.301164627075195,,,,Image_1837.jpg
image,,0_node_82,0,2,1,-0.5350968241691589,9.131187438964844,4.249357223510742,,,,Image_1869.jpg
image,,0_node_82,0,2,1,-0.646198034286499,9.25123405456543,4.383509159088135,,,,Image_5271.jpg
image,,0_node_82,0,2,1,-0.5017305612564087,9.100628852844238,4.228862762451172,,,,Image_1993.jpg
image,,0_node_82,0,2,1,-0.6181463599205017,9.218103408813477,4.3473029136657715,,,,Image_535.jpg
image,,0_node_82,0,2,1,-0.5714226961135864,9.158977508544922,4.2832159996032715,,,,Image_3666.jpg
image,,0_node_82,0,2,1,-0.5787491202354431,9.192057609558105,4.293942928314209,,,,Image_1953.jpg
image,,0_node_82,0,2,1,-0.6057013273239136,9.195623397827148,4.290074348449707,,,,Image_1373.jpg
image,,0_node_82,0,2,1,-0.47533300518989563,9.064128875732422,4.180514335632324,,,,Image_1212.jpg
image,,0_node_82,0,2,1,-0.5072623491287231,9.101682662963867,4.23159122467041,,,,Image_5363.jpg
image,,0_node_82,0,2,1,-0.6657135486602783,9.256144523620605,4.378757476806641,,,,Image_3465.jpg
image,,0_node_82,0,2,1,-0.6210702061653137,9.218672752380371,4.339643955230713,,,,Image_5476.jpg
image,,0_node_82,0,2,1,-0.5831965804100037,9.182023048400879,4.309765338897705,,,,Image_1385.jpg
image,,0_node_82,0,2,1,-0.6066979169845581,9.19802474975586,4.321335315704346,,,,Image_5881.jpg
image,,0_node_82,0,2,1,-0.6202704906463623,9.219453811645508,4.349676609039307,,,,Image_5099.jpg
image,,0_node_82,0,2,1,-0.6173544526100159,9.208059310913086,4.317951679229736,,,,Image_4799.jpg
image,,0_node_82,0,2,1,-0.5471053719520569,9.146038055419922,4.259024620056152,,,,Image_3371.jpg
image,,0_node_82,0,2,1,-0.5464258193969727,9.141494750976562,4.257761001586914,,,,Image_884.jpg
image,,0_node_82,0,2,1,-0.5468949675559998,9.144144058227539,4.258759498596191,,,,Image_1745.jpg
image,,0_node_82,0,2,1,-0.5257275700569153,9.119855880737305,4.237704277038574,,,,Image_1699.jpg
image,,0_node_82,0,2,1,-0.5340003371238708,9.12767505645752,4.2262043952941895,,,,Image_3581.jpg
image,,0_node_82,0,2,1,-0.5089706182479858,9.096480369567871,4.217569351196289,,,,Image_1377.jpg
image,,0_node_82,0,2,1,-0.5894872546195984,9.178253173828125,4.298553466796875,,,,Image_2723.jpg
image,,0_node_82,0,2,1,-0.5336621403694153,9.13250732421875,4.242486000061035,,,,Image_3561.jpg
image,,0_node_82,0,2,1,-0.5147609114646912,9.138586044311523,4.238400936126709,,,,Image_2617.jpg
image,,0_node_82,0,2,1,-0.5570351481437683,9.166115760803223,4.2918572425842285,,,,Image_3165.jpg
image,,0_node_82,0,2,1,-0.48086637258529663,9.076659202575684,4.190271377563477,,,,Image_1785.jpg
image,,0_node_82,0,2,1,-0.6628762483596802,9.255340576171875,4.380386829376221,,,,Image_3227.jpg
image,,0_node_82,0,2,1,-0.5685340762138367,9.180405616760254,4.181161403656006,,,,Image_465.jpg
image,,0_node_82,0,2,1,-0.5763508081436157,9.193069458007812,4.314384460449219,,,,Image_1975.jpg
image,,0_node_82,0,2,1,-0.5524354577064514,9.142366409301758,4.2671074867248535,,,,Image_1883.jpg
image,,0_node_82,0,2,1,-0.63728928565979,9.22000789642334,4.36359167098999,,,,Image_6324.jpg
image,,0_node_82,0,2,1,-0.6272408366203308,9.220162391662598,4.343940734863281,,,,Image_2102.jpg
image,,0_node_82,0,2,1,-0.5213091969490051,9.11550235748291,4.2221856117248535,,,,Image_1015.jpg
image,,0_node_82,0,2,1,-0.561847984790802,9.149545669555664,4.273288726806641,,,,Image_1146.jpg
image,,0_node_82,0,2,1,-0.6153745055198669,9.209213256835938,4.334860801696777,,,,Image_1120.jpg
image,,0_node_82,0,2,1,-0.5394540429115295,9.134953498840332,4.2489471435546875,,,,Image_1597.jpg
image,,0_node_82,0,2,1,-0.6364763975143433,9.22897720336914,4.353125095367432,,,,Image_5765.jpg
image,,0_node_82,0,2,1,-0.5033169984817505,9.10389232635498,4.240572452545166,,,,Image_3023.jpg
image,,0_node_82,0,2,1,-0.5839987993240356,9.172913551330566,4.279673099517822,,,,Image_3535.jpg
image,,0_node_82,0,2,1,-0.5798215866088867,9.180354118347168,4.301863670349121,,,,Image_3291.jpg
image,,0_node_82,0,2,1,-0.5258734822273254,9.120316505432129,4.251367568969727,,,,Image_5030.jpg
image,,0_node_82,0,2,1,-0.5114903450012207,9.11074161529541,4.233421325683594,,,,Image_2581.jpg
image,,0_node_82,0,2,1,-0.5675907135009766,9.162873268127441,4.272586345672607,,,,Image_5692.jpg
image,,0_node_82,0,2,1,-0.5084365606307983,9.10407543182373,4.236279010772705,,,,Image_6296.jpg
image,,0_node_82,0,2,1,-0.5481233596801758,9.147863388061523,4.267824172973633,,,,Image_1527.jpg
image,,0_node_82,0,2,1,-0.5347009301185608,9.128477096557617,4.244359493255615,,,,Image_1101.jpg
image,,0_node_82,0,2,1,-0.5860707759857178,9.178263664245605,4.306516170501709,,,,Image_783.jpg
image,,0_node_82,0,2,1,-0.6247146129608154,9.217713356018066,4.342803955078125,,,,Image_4440.jpg
image,,0_node_82,0,2,1,-0.5960562825202942,9.218354225158691,4.348221302032471,,,,Image_2312.jpg
image,,0_node_82,0,2,1,-0.648455023765564,9.243525505065918,4.365191459655762,,,,Image_5496.jpg
image,,0_node_82,0,2,1,-0.5563441514968872,9.161306381225586,4.286740779876709,,,,Image_5305.jpg
image,,0_node_82,0,2,1,-0.6228623390197754,9.214003562927246,4.337433338165283,,,,Image_1404.jpg
image,,0_node_82,0,2,1,-0.5780953168869019,9.169646263122559,4.292466640472412,,,,Image_3171.jpg
image,,0_node_82,0,2,1,-0.6337091326713562,9.228156089782715,4.352250576019287,,,,Image_818.jpg
image,,0_node_82,0,2,1,-0.5885076522827148,9.178571701049805,4.299453258514404,,,,Image_321.jpg
image,,0_node_82,0,2,1,-0.6204930543899536,9.213705062866211,4.342280864715576,,,,Image_1476.jpg
image,,0_node_82,0,2,1,-0.6069000363349915,9.195054054260254,4.327673435211182,,,,Image_1140.jpg
image,,0_node_82,0,2,1,-0.6058385968208313,9.201603889465332,4.314849376678467,,,,Image_6124.jpg
image,,0_node_82,0,2,1,-0.6363545060157776,9.229597091674805,4.351748943328857,,,,Image_3333.jpg
image,,0_node_82,0,2,1,-0.584947943687439,9.187312126159668,4.3128342628479,,,,Image_4912.jpg
image,,0_node_82,0,2,1,-0.5825132727622986,9.1766357421875,4.299014091491699,,,,Image_123.jpg
image,,0_node_82,0,2,1,-0.5995750427246094,9.192323684692383,4.317259788513184,,,,Image_4695.jpg
node,planet_1,root,1,0,168,7.71210241317749,0.7346295118331909,10.67723560333252,0.4980392156862745,0.4117647058823529,0.3176470588235294,
node,1_node_169,planet_1,1,2,19,7.088805198669434,1.1075454950332642,10.463332176208496,0.5372549019607843,0.4,0.2627450980392157,
node,1_node_170,planet_1,1,2,22,7.749743938446045,0.7508580684661865,10.641404151916504,0.4470588235294118,0.3764705882352941,0.2980392156862745,
node,1_node_171,planet_1,1,2,39,7.831644058227539,0.65897536277771,10.68946361541748,0.49019607843137253,0.403921568627451,0.30980392156862746,
node,1_node_172,planet_1,1,2,21,7.524255752563477,0.9079486131668091,10.756667137145996,0.5058823529411764,0.4196078431372549,0.3215686274509804,
node,1_node_171.0_grp_10,planet_1,1,1,41,7.928840637207031,0.5462412238121033,10.737058639526367,0.4980392156862745,0.4,0.3137254901960784,
node,1_node_171.0_grp_11,planet_1,1,1,26,7.766363143920898,0.7189480066299438,10.687043190002441,0.5215686274509804,0.4588235294117647,0.3607843137254902,
image,,1_node_169,1,3,1,7.2098565101623535,1.0185377597808838,10.5225191116333,,,,Image_1309.jpg
image,,1_node_169,1,3,1,7.150468826293945,1.0716809034347534,10.504936218261719,,,,Image_1046.jpg
image,,1_node_169,1,3,1,7.058135986328125,1.126752495765686,10.444177627563477,,,,Image_5675.jpg
image,,1_node_169,1,3,1,7.10374641418457,1.1014984846115112,10.478113174438477,,,,Image_3182.jpg
image,,1_node_169,1,3,1,7.063702583312988,1.1236538887023926,10.453042984008789,,,,Image_5291.jpg
image,,1_node_169,1,3,1,7.068277835845947,1.1210752725601196,10.450360298156738,,,,Image_4535.jpg
image,,1_node_169,1,3,1,7.065019607543945,1.1217377185821533,10.452805519104004,,,,Image_2612.jpg
image,,1_node_169,1,3,1,7.057466506958008,1.126890778541565,10.433036804199219,,,,Image_5805.jpg
image,,1_node_169,1,3,1,7.0710601806640625,1.1202336549758911,10.45817756652832,,,,Image_4321.jpg
image,,1_node_169,1,3,1,7.058032035827637,1.1285831928253174,10.44072437286377,,,,Image_353.jpg
image,,1_node_169,1,3,1,7.062221527099609,1.123996376991272,10.446680068969727,,,,Image_4179.jpg
image,,1_node_169,1,3,1,7.077254772186279,1.116826057434082,10.456561088562012,,,,Image_4010.jpg
image,,1_node_169,1,3,1,7.092337608337402,1.1064883470535278,10.473854064941406,,,,Image_5078.jpg
